# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jan 31 08:06:14 2017
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN st_sp:          Spectral Type
# COLUMN st_spstr:       Spectral Type
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_teff,st_mass,st_rad,pl_eqt,pl_masse,pl_rade,st_sp,st_spstr
3077,Kepler-92,d,Transit,3,49.35680000,,0.070000,,0.184,,19h16m20.65s,289.086058,+41d33m46.6s,41.562941,,11.565,5883.00,1.21,1.70,,,2.067,,
3078,Kepler-920,b,Transit,2,6.53192704,,,,0.216,,18h57m11.27s,284.296949,+49d09m31.2s,49.158676,926.00,15.280,5403.00,0.89,0.85,,,2.420,,
3079,Kepler-920,c,Transit,2,100.82741130,,,,0.339,,18h57m11.27s,284.296949,+49d09m31.2s,49.158676,926.00,15.280,5403.00,0.89,0.85,,,3.800,,
3080,Kepler-921,b,Transit,1,51.30063400,,,,0.256,,18h58m27.89s,284.616205,+49d11m26.9s,49.190811,847.00,14.739,5663.00,0.93,0.91,,,2.870,,
3081,Kepler-922,b,Transit,1,0.93846683,,,,0.127,,18h58m55.55s,284.731462,+49d31m59.5s,49.533195,558.00,13.757,5671.00,0.95,0.93,,,1.420,,
3082,Kepler-923,b,Transit,1,6.93366476,,,,0.123,,19h36m41.06s,294.171085,+40d03m18.6s,40.055165,966.00,14.042,5988.00,1.11,1.26,,,1.380,,
3083,Kepler-924,b,Transit,1,61.03701170,,,,0.274,,19h22m40.44s,290.668512,+40d23m51.8s,40.397718,995.00,14.171,6167.00,1.14,1.23,,,3.070,,
3084,Kepler-925,b,Transit,1,33.86785310,,,,0.209,,19h20m25.57s,290.106539,+40d29m26.4s,40.490657,623.00,15.810,4673.00,0.77,0.72,,,2.340,,
3085,Kepler-926,b,Transit,1,52.06886010,,,,0.206,,19h18m43.04s,289.679343,+40d42m01.7s,40.700466,771.00,14.279,5806.00,1.01,1.01,,,2.310,,
3086,Kepler-927,b,Transit,1,9.11499030,,,,0.153,,19h17m32.04s,289.383510,+41d23m33.7s,41.392695,879.00,14.630,5743.00,0.99,0.99,,,1.720,,
3087,Kepler-928,b,Transit,1,3.93246130,,,,0.142,,19h19m40.97s,289.920717,+41d32m34.2s,41.542828,532.00,15.320,4700.00,0.73,0.70,,,1.590,,
3088,Kepler-929,b,Transit,1,0.92103214,,,,0.099,,19h53m55.47s,298.481124,+41d36m55.2s,41.615332,820.00,14.542,5869.00,1.01,1.02,,,1.110,,
3089,Kepler-93,b,Transit,2,4.72673978,0.053000,0.000000,89.183,0.132,6.88000,19h25m40.39s,291.418281,+38d40m20.5s,38.672354,,9.931,5669.00,0.91,0.92,1037,4.02000,1.478,,
3090,Kepler-93,c,Radial Velocity,2,1460.00000000,,,,,,19h25m40.39s,291.418281,+38d40m20.5s,38.672354,,9.931,5669.00,0.91,0.92,,954.00000,,,
3091,Kepler-930,b,Transit,1,71.45177750,,,,0.190,,19h53m15.47s,298.314444,+42d14m50.8s,42.247434,905.00,13.781,6335.00,1.25,1.40,,,2.130,,
3092,Kepler-931,b,Transit,1,8.03755877,,,,0.119,,19h48m31.83s,297.132641,+42d46m05.7s,42.768253,490.00,14.471,5241.00,0.86,0.81,,,1.330,,
3093,Kepler-932,b,Transit,1,1.92143740,,,,0.122,,19h47m48.49s,296.952062,+43d16m19.1s,43.271969,478.00,14.131,5331.00,0.87,0.84,,,1.370,,
3094,Kepler-933,b,Transit,1,14.20443009,,,,0.219,,19h18m16.48s,289.568659,+43d32m19.0s,43.538612,922.00,15.469,5346.00,0.87,0.84,,,2.460,,
3095,Kepler-934,b,Transit,1,55.67383090,,,,0.186,,19h21m09.23s,290.288467,+43d45m19.2s,43.755322,603.00,15.061,5001.00,0.81,0.77,,,2.090,,
3096,Kepler-935,b,Transit,1,4.88083852,,,,0.120,,19h40m05.20s,295.021668,+46d37m09.2s,46.619217,482.00,14.925,4830.00,0.78,0.73,,,1.350,,
3097,Kepler-936,b,Transit,1,10.56134221,,,,0.129,,19h34m18.66s,293.577759,+46d44m10.8s,46.736347,687.00,14.581,5482.00,0.92,0.89,,,1.450,,
3098,Kepler-937,b,Transit,2,67.66882700,,,,0.332,,19h36m40.51s,294.168805,+46d42m52.6s,46.714611,1482.00,15.224,6095.00,1.15,1.22,,,3.720,,
3099,Kepler-937,c,Transit,2,153.34336400,,,,0.238,,19h36m40.51s,294.168805,+46d42m52.6s,46.714611,1482.00,15.224,6095.00,1.15,1.22,,,2.670,,
3100,Kepler-938,b,Transit,1,52.62984170,,,,0.198,,19h39m09.39s,294.789143,+46d59m02.4s,46.983990,861.00,15.004,5533.00,0.92,0.89,,,2.220,,
3101,Kepler-939,b,Transit,1,14.87829600,,,,0.156,,19h35m27.75s,293.865613,+47d01m36.6s,47.026829,1029.00,15.534,5471.00,0.88,0.85,,,1.750,,
3102,Kepler-94,b,Transit,2,2.50806000,,,,0.313,1.45000,18h44m46.74s,281.194747,+47d29m49.7s,47.497148,,12.895,4781.00,0.81,0.76,,10.84000,3.510,,
3103,Kepler-94,c,Radial Velocity,2,820.30000000,,,,,,18h44m46.74s,281.194747,+47d29m49.7s,47.497148,,12.895,4781.00,0.81,0.76,,3126.00000,,,
3104,Kepler-940,b,Transit,1,59.62252570,,,,0.298,,19h36m57.91s,294.241293,+47d16m33.5s,47.275982,1317.00,15.517,5769.00,0.97,0.96,,,3.340,,
3105,Kepler-941,b,Transit,1,17.42395198,,,,0.275,,19h37m18.33s,294.326356,+47d13m03.4s,47.217613,1105.00,15.601,5539.00,0.89,0.86,,,3.080,,
3106,Kepler-942,b,Transit,1,44.96417488,,,,0.190,,19h39m49.23s,294.955114,+44d08m59.3s,44.149818,218.00,13.054,4861.00,0.81,0.75,,,2.130,,
3107,Kepler-943,b,Transit,1,49.77014380,,,,0.529,,18h57m05.75s,284.273965,+41d32m06.1s,41.535023,1239.00,15.640,5612.00,0.93,0.91,,,5.930,,
3108,Kepler-944,b,Transit,1,43.31677370,,,,0.235,,19h34m24.30s,293.601262,+42d22m47.1s,42.379761,1035.00,15.737,5409.00,0.86,0.83,,,2.630,,
3109,Kepler-945,b,Transit,1,31.00338140,,,,0.235,,19h25m04.74s,291.269748,+42d05m45.8s,42.096046,1543.00,15.898,5718.00,0.97,0.97,,,2.630,,
3110,Kepler-946,b,Transit,1,11.79162572,,,,0.172,,20h03m43.11s,300.929606,+44d01m43.6s,44.028790,918.00,14.941,5665.00,0.94,0.93,,,1.930,,
3111,Kepler-947,b,Transit,1,26.96443170,,,,0.203,,19h37m28.01s,294.366727,+42d15m09.6s,42.252678,1188.00,15.789,5508.00,0.90,0.87,,,2.280,,
3112,Kepler-948,b,Transit,1,7.76846622,,,,0.165,,19h33m12.06s,293.300231,+41d31m24.0s,41.523338,884.00,14.800,5679.00,0.96,0.94,,,1.850,,
3113,Kepler-949,b,Transit,1,8.68930730,,,,0.260,,19h54m25.89s,298.607876,+46d27m13.3s,46.453682,572.00,14.548,5403.00,0.89,0.86,,,2.910,,
3114,Kepler-95,b,Transit,1,11.52310000,,,,0.305,1.71000,18h57m55.79s,284.482459,+44d23m52.9s,44.398037,,12.346,5699.00,1.08,1.41,,13.00000,3.420,,
3115,Kepler-950,b,Transit,1,98.71804060,,,,0.801,,19h11m49.58s,287.956566,+41d07m49.2s,41.130329,1489.00,15.700,5857.00,1.02,1.02,,,8.980,,
3116,Kepler-951,b,Transit,1,71.52530845,,,,0.499,,19h10m57.01s,287.737560,+38d06m52.4s,38.114567,408.00,14.521,4834.00,0.77,0.73,,,5.590,,
3117,Kepler-952,b,Transit,1,130.35469190,,,,0.682,,19h01m29.27s,285.371949,+41d59m38.1s,41.993912,1167.00,15.254,5730.00,1.00,0.99,,,7.650,,
3118,Kepler-953,b,Transit,2,88.40655258,,,,0.376,,19h15m53.20s,288.971662,+44d37m28.3s,44.624531,240.00,12.160,5416.00,0.95,0.99,,,4.210,,
3119,Kepler-953,c,Transit,2,9.10967112,,,,0.106,,19h15m53.20s,288.971662,+44d37m28.3s,44.624531,240.00,12.160,5416.00,0.95,0.99,,,1.190,,
3120,Kepler-954,b,Transit,1,16.78176602,,,,0.207,,19h43m26.25s,295.859378,+47d56m22.2s,47.939510,224.00,12.971,4990.00,0.82,0.76,,,2.320,,
3121,Kepler-955,b,Transit,1,14.53244172,,,,0.279,,19h13m53.15s,288.471458,+40d16m11.3s,40.269795,637.00,14.625,5350.00,0.89,0.84,,,3.130,,
3122,Kepler-956,b,Transit,1,5.24867263,,,,0.268,,19h30m07.39s,292.530806,+49d03m42.1s,49.061707,631.00,13.345,6040.00,1.10,1.15,,,3.000,,
3123,Kepler-957,b,Transit,1,5.90741354,,,,0.491,,19h20m37.52s,290.156346,+48d49m08.4s,48.818996,749.00,15.625,4963.00,0.81,0.75,,,5.500,,
3124,Kepler-958,b,Transit,1,9.76788050,,,,0.184,,19h09m01.60s,287.256685,+46d04m00.4s,46.066769,467.00,13.766,5421.00,0.91,0.86,,,2.060,,
3125,Kepler-959,b,Transit,1,14.80074836,,,,0.391,,19h28m41.08s,292.171168,+40d48m41.0s,40.811382,1003.00,12.538,7005.00,1.60,2.01,,,4.380,,
3126,Kepler-96,b,Transit,1,16.23850000,,,,0.238,2.26000,19h48m16.71s,297.069643,+40d31m30.5s,40.525141,,10.297,5690.00,1.00,1.02,,8.46000,2.670,,
3127,Kepler-960,b,Transit,1,3.12686223,,,,0.204,,18h45m49.72s,281.457163,+46d44m47.3s,46.746468,298.00,13.884,4755.00,0.77,0.72,,,2.290,,
3128,Kepler-961,b,Transit,1,16.87727414,,,,0.227,,18h48m08.52s,282.035496,+43d37m52.6s,43.631268,607.00,14.101,5582.00,0.96,0.90,,,2.550,,
3129,Kepler-962,b,Transit,1,12.05707239,,,,0.176,,19h41m15.15s,295.313145,+46d14m15.0s,46.237488,439.00,13.576,5478.00,0.93,0.86,,,1.970,,
3130,Kepler-963,b,Transit,1,9.97683705,,,,0.237,,19h47m00.71s,296.752973,+45d02m28.0s,45.041100,786.00,14.943,5461.00,0.91,0.87,,,2.660,,
3131,Kepler-964,b,Transit,1,13.52251060,,,,0.189,,19h41m12.02s,295.300090,+40d33m23.7s,40.556591,478.00,13.895,5427.00,0.93,0.84,,,2.120,,
3132,Kepler-965,b,Transit,1,134.25272980,,,,0.302,,19h54m03.68s,298.515338,+41d53m28.3s,41.891205,618.00,13.350,5886.00,1.05,1.15,,,3.380,,
3133,Kepler-966,b,Transit,1,99.74762200,,,,0.368,,19h49m04.94s,297.270578,+50d07m18.5s,50.121811,773.00,14.422,5840.00,1.02,1.02,,,4.130,,
3134,Kepler-967,b,Transit,2,13.22713379,,,,0.210,,19h06m13.94s,286.558075,+38d24m19.3s,38.405360,499.00,14.443,5178.00,0.84,0.80,,,2.350,,
3135,Kepler-967,c,Transit,2,198.71125020,,,,0.326,,19h06m13.94s,286.558075,+38d24m19.3s,38.405360,499.00,14.443,5178.00,0.84,0.80,,,3.650,,
3136,Kepler-968,b,Transit,2,3.69298373,,,,0.178,,19h02m24.61s,285.602528,+50d06m43.3s,50.112038,312.00,14.265,4598.00,0.76,0.70,,,2.000,,
3137,Kepler-968,c,Transit,2,5.70940492,,,,0.151,,19h02m24.61s,285.602528,+50d06m43.3s,50.112038,312.00,14.265,4598.00,0.76,0.70,,,1.690,,
3138,Kepler-969,b,Transit,2,34.17317140,,,,0.185,,19h13m29.40s,288.372508,+47d56m00.8s,47.933556,411.00,13.733,5214.00,0.92,0.82,,,2.070,,
3139,Kepler-969,c,Transit,2,1.68293460,,,,0.088,,19h13m29.40s,288.372508,+47d56m00.8s,47.933556,411.00,13.733,5214.00,0.92,0.82,,,0.990,,
3140,Kepler-97,b,Transit,2,2.58664000,,,,0.132,5.44000,19h09m18.39s,287.326624,+48d40m24.4s,48.673431,,12.872,5779.00,0.94,0.98,,3.51000,1.480,,
3141,Kepler-97,c,Radial Velocity,2,789.00000000,,,,,,19h09m18.39s,287.326624,+48d40m24.4s,48.673431,,12.872,5779.00,0.94,0.98,,344.00000,,,
3142,Kepler-970,b,Transit,1,16.73652231,,,,0.247,,19h18m30.06s,289.625230,+40d42m31.4s,40.708726,350.00,14.786,4511.00,0.70,0.67,,,2.770,,
3143,Kepler-971,b,Transit,1,9.59070716,,,,0.190,,18h56m22.70s,284.094587,+41d10m58.2s,41.182821,345.00,13.237,5431.00,0.88,0.85,,,2.130,,
3144,Kepler-972,b,Transit,1,7.03932553,,,,0.415,,19h43m18.89s,295.828703,+43d25m31.8s,43.425495,1304.00,14.915,6146.00,1.15,1.22,,,4.650,,
3145,Kepler-973,b,Transit,1,49.60773310,,,,0.175,,19h20m39.66s,290.165258,+49d55m25.9s,49.923862,297.00,13.218,5213.00,0.86,0.78,,,1.960,,
3146,Kepler-974,b,Transit,1,4.19449651,,,,0.140,,19h00m03.14s,285.013102,+40d13m14.7s,40.220753,121.00,14.404,3687.00,0.52,0.50,,,1.570,,
3147,Kepler-975,b,Transit,1,1.97034246,,,,0.132,,19h22m11.65s,290.548550,+38d29m43.0s,38.495275,404.00,14.438,4897.00,0.80,0.75,,,1.480,,
3148,Kepler-976,b,Transit,1,105.95641480,,,,0.353,,19h19m28.71s,289.869641,+46d43m46.9s,46.729706,1020.00,15.795,5232.00,0.87,0.83,,,3.960,,
3149,Kepler-977,b,Transit,1,26.85328322,,,,0.234,,19h26m03.89s,291.516210,+42d14m53.5s,42.248196,664.00,14.812,5315.00,0.87,0.83,,,2.620,,
3150,Kepler-978,b,Transit,1,49.62215090,,,,0.267,,19h06m50.57s,286.710723,+43d02m36.4s,43.043453,624.00,13.429,6002.00,1.07,1.09,,,2.990,,
3151,Kepler-979,b,Transit,1,8.08801350,,,,0.243,,20h01m29.11s,300.371281,+46d24m29.8s,46.408276,606.00,14.624,5310.00,0.87,0.83,,,2.720,,
3152,Kepler-98,b,Transit,1,1.54168000,,,,0.178,2.18000,19h02m38.80s,285.661662,+37d57m52.2s,37.964506,,12.899,5539.00,0.99,1.11,,3.55000,1.990,,
3153,Kepler-980,b,Transit,1,11.55102504,,,,0.238,,19h38m27.12s,294.613008,+45d03m36.6s,45.060169,804.00,14.138,5935.00,1.05,1.06,,,2.670,,
3154,Kepler-981,b,Transit,1,4.46975774,,,,0.206,,19h16m59.74s,289.248907,+47d39m00.4s,47.650101,913.00,14.769,5718.00,0.98,0.96,,,2.310,,
3155,Kepler-982,b,Transit,1,15.77382210,,,,0.201,,19h13m40.24s,288.417680,+46d35m25.5s,46.590427,702.00,13.205,6139.00,1.16,1.29,,,2.250,,
3156,Kepler-983,b,Transit,1,60.08550820,,,,0.211,,19h00m24.97s,285.104060,+45d00m29.4s,45.008167,655.00,13.430,6052.00,1.13,1.08,,,2.360,,
3157,Kepler-984,b,Transit,1,43.03422720,,,,0.189,,19h47m50.13s,296.958868,+46d23m38.9s,46.394127,461.00,13.534,5610.00,0.96,0.93,,,2.120,,
3158,Kepler-985,b,Transit,1,116.33190100,,,,0.266,,19h20m34.63s,290.144308,+44d02m59.8s,44.049953,741.00,14.767,5434.00,0.91,0.85,,,2.980,,
3159,Kepler-986,b,Transit,1,56.43499380,,,,0.211,,19h32m22.56s,293.094007,+42d53m47.2s,42.896431,563.00,13.668,5642.00,0.96,0.98,,,2.360,,
3160,Kepler-987,b,Transit,1,105.30331480,,,,0.291,,19h17m38.66s,289.411070,+46d07m51.1s,46.130848,936.00,14.986,5637.00,0.97,0.91,,,3.260,,
3161,Kepler-988,b,Transit,1,17.76080053,,,,0.185,,19h22m50.01s,290.708386,+42d14m14.1s,42.237251,248.00,15.220,4005.00,0.55,0.53,,,2.070,,
3162,Kepler-989,b,Transit,1,7.96431535,,,,0.197,,18h46m19.90s,281.582909,+47d14m01.1s,47.233631,484.00,14.425,5074.00,0.82,0.78,,,2.210,,
3163,Kepler-99,b,Transit,1,4.60358000,,,,0.132,10.90000,19h49m24.96s,297.354004,+41d18m00.2s,41.300049,,12.970,4782.00,0.79,0.73,,6.15000,1.480,,
3164,Kepler-990,b,Transit,2,9.91723428,,,,0.232,,19h51m45.17s,297.938209,+46d52m53.0s,46.881393,933.00,14.498,5948.00,1.05,1.08,,,2.600,,
3165,Kepler-990,c,Transit,2,0.53835431,,,,0.136,,19h51m45.17s,297.938209,+46d52m53.0s,46.881393,933.00,14.498,5948.00,1.05,1.08,,,1.530,,
3166,Kepler-991,b,Transit,1,82.53425190,,,,0.227,,19h48m21.76s,297.090655,+49d37m35.7s,49.626572,370.00,15.187,4392.00,0.64,0.61,,,2.540,,
3167,Kepler-992,b,Transit,1,20.16034462,,,,0.145,,18h57m43.27s,284.430280,+47d38m30.4s,47.641785,268.00,13.389,4944.00,0.80,0.74,,,1.620,,
3168,Kepler-993,b,Transit,1,22.08557563,,,,0.265,,19h30m27.38s,292.614101,+44d23m40.8s,44.394661,298.00,15.967,3843.00,0.57,0.54,,,2.970,,
3169,Kepler-994,b,Transit,1,1.15116651,,,,0.143,,19h16m17.33s,289.072225,+47d24m25.5s,47.407070,170.00,14.440,3934.00,0.56,0.54,,,1.600,,
3170,Kepler-995,b,Transit,1,28.26731672,,,,0.241,,18h58m27.77s,284.615727,+39d07m51.7s,39.131038,659.00,14.907,5206.00,0.83,0.80,,,2.700,,
3171,Kepler-996,b,Transit,1,3.77059058,,,,0.177,,19h27m39.07s,291.912789,+41d32m01.0s,41.533611,1098.00,14.668,6014.00,1.09,1.14,,,1.980,,
3172,Kepler-997,b,Transit,1,2.70730672,,,,0.121,,19h16m56.01s,289.233369,+49d56m20.2s,49.938934,470.00,11.894,6150.00,1.22,1.56,,,1.360,,
3173,Kepler-998,b,Transit,1,5.65377733,,,,0.207,,19h47m01.00s,296.754151,+49d12m31.5s,49.208744,996.00,14.377,6058.00,1.12,1.18,,,2.320,,
3174,Kepler-999,b,Transit,1,5.99185702,,,,0.209,,19h58m38.51s,299.660466,+46d11m54.3s,46.198418,568.00,12.239,6237.00,1.29,1.65,,,2.340,,
3175,LkCa 15,b,Imaging,2,,14.700000,,50.000,,,04h39m17.80s,69.824148,+22d21m03.5s,22.350967,,,,,,,,,,
3176,LkCa 15,c,Imaging,2,,18.600000,,50.000,,,04h39m17.80s,69.824148,+22d21m03.5s,22.350967,,,,,,,,,,
3177,Lupus-TR-3,b,Transit,1,3.91405000,0.046400,0.000000,88.300,0.890,1.40000,15h30m18.62s,232.577571,-42d58m47.7s,-42.979908,2000.00,,5000.00,0.87,0.82,,257.43100,9.976,,
3178,MOA 2007-BLG-192L,b,Microlensing,1,,0.620000,,,,,18h08m03.80s,272.015825,-27d09m00.3s,-27.150075,1000.00,,,0.06,,,3.30000,,,
3179,MOA 2007-BLG-400L,b,Microlensing,1,,0.720000,,,,,18h09m41.98s,272.424917,-29d13m27.0s,-29.224153,5800.00,,,0.30,,103,263.79000,,,
3180,MOA 2008-BLG-310L,b,Microlensing,1,,1.250000,,,,,17h54m14.53s,268.560542,-34d46m41.0s,-34.778053,6000.00,,,0.67,,,74.00000,,,
3181,MOA 2008-BLG-379L,b,Microlensing,1,,3.300000,,,,,17h58m49.44s,269.706000,-30d11m49.0s,-30.196931,3300.00,,,0.56,,,1303.00000,,5.00,K
3182,MOA 2009-BLG-266L,b,Microlensing,1,2774.00000000,3.200000,,,,,17h48m01.95s,267.008125,-35d00m19.5s,-35.005411,3040.00,,,0.56,,,10.40000,,,
3183,MOA 2009-BLG-319L,b,Microlensing,1,,2.400000,,,,,18h06m58.13s,271.742208,-26d49m10.9s,-26.819692,6100.00,,,0.38,,,50.00000,,,
3184,MOA 2009-BLG-387L,b,Microlensing,1,1982.00000000,1.820000,,52.000,,,17h53m50.79s,268.461625,-33d59m25.2s,-33.990333,5690.00,,,0.19,,,813.64480,,,
3185,MOA 2010-BLG-073L,b,Microlensing,1,,1.210000,,,,,18h10m11.34s,272.547258,-26d31m22.6s,-26.522932,2800.00,,,0.16,,,3496.00000,,,
3186,MOA 2010-BLG-328L,b,Microlensing,1,,0.920000,,,,,17h57m59.12s,269.496333,-30d42m54.6s,-30.715175,810.00,,,0.11,,,9.20000,,,
3187,MOA 2010-BLG-353L,b,Microlensing,1,,1.720000,,,,,18h05m12.94s,271.303917,-27d17m35.6s,-27.293233,6430.00,,,0.18,,,85.81410,,,
3188,MOA 2010-BLG-477L,b,Microlensing,1,,2.000000,,,,,18h06m07.44s,271.531006,-31d27m16.1s,-31.454477,2300.00,,5950.00,0.67,,,476.70000,,,
3189,MOA 2011-BLG-028L,b,Microlensing,1,,4.140000,,,,,18h03m24.96s,270.854000,-29d12m48.3s,-29.213417,7380.00,,,0.75,,,30.00000,,,
3190,MOA 2011-BLG-262L,b,Microlensing,1,,0.840000,,,,,18h00m23.48s,270.097833,-31d14m42.9s,-31.245258,7000.00,,,0.12,,,18.00000,,,
3191,MOA 2011-BLG-293L,b,Microlensing,1,,1.100000,,,,,17h55m39.35s,268.913958,-28d28m36.6s,-28.476847,7720.00,,,0.86,,,1525.50000,,,
3192,MOA 2011-BLG-322L,b,Microlensing,1,,4.300000,,,,,18h04m53.60s,271.223333,-27d13m15.4s,-27.220944,7560.00,,,0.39,,,3686.70000,,,
3193,MOA 2013-BLG-605L,b,Microlensing,1,,0.940000,,,,,17h58m42.85s,269.678542,-29d23m53.7s,-29.398239,,,,0.03,,,3.20000,,,
3194,MOA-bin-1L,b,Microlensing,1,,8.300000,,,,,17h27m10.20s,261.792500,-29d47m38.3s,-29.793972,5100.00,,,0.75,,,1175.90000,,,
3195,NGC 2682 Sand 364,b,Radial Velocity,1,121.71000000,,0.350000,,,,08h49m56.82s,132.486760,+11d41m32.9s,11.692484,,9.800,4284.00,1.35,21.80,,,,5.30,K3 III
3196,NGC 2682 YBP 1194,b,Radial Velocity,1,6.95900000,,0.300000,,,,08h51m00.81s,132.753364,+11d48m52.8s,11.814655,,14.600,5780.00,1.01,,,,,4.50,G5 V
3197,NGC 2682 YBP 1514,b,Radial Velocity,1,5.11800000,,0.280000,,,,08h51m00.77s,132.753193,+11d53m11.5s,11.886530,,14.770,5725.00,0.96,,,,,4.50,G5 V
3198,NGC 2682 YBP 401,b,Radial Velocity,1,4.08700000,,0.150000,,,,08h51m19.05s,132.829360,+11d40m15.7s,11.671020,,13.700,6165.00,1.14,,,,,3.90,F9 V
3199,NGC 4349 127,b,Radial Velocity,1,677.80000000,2.380000,0.190000,,,,12h24m35.47s,186.147811,-61d49m12.0s,-61.820004,2200.00,10.880,,3.90,,,,,,
3200,NN Ser,c,Eclipse Timing Variations,2,5573.55000000,5.350000,0.080000,,,,15h52m56.13s,238.233879,+12d54m44.7s,12.912411,500.00,,57000.00,0.54,,,2329.60000,,,WD
3201,NN Ser,d,Eclipse Timing Variations,2,2883.50000000,3.430000,0.190000,,,,15h52m56.13s,238.233879,+12d54m44.7s,12.912411,500.00,,57000.00,0.54,,,731.00000,,,WD
3202,NY Vir,b,Eclipse Timing Variations,1,2985.70000000,,0.440000,,,,13h38m48.15s,204.700622,-02d01m49.1s,-2.030315,,,,,,,,,,
3203,OGLE 2003-BLG-235L,b,Microlensing,1,,4.300000,,,,,18h05m16.35s,271.318125,-28d53m42.0s,-28.895000,5800.00,,,0.63,,,826.35800,,5.00,K V
3204,OGLE 2005-BLG-169L,b,Microlensing,1,,3.500000,,,,,18h06m05.32s,271.522167,-30d43m57.5s,-30.732639,4100.00,,,0.69,,,14.10000,,5.50,K5
3205,OGLE 2005-BLG-390L,b,Microlensing,1,3285.00000000,2.600000,,,,,17h54m19.19s,268.579958,-30d22m38.3s,-30.377306,6600.00,,,0.22,,50,5.50000,,,
3206,OGLE 2005-BLG-71L,b,Microlensing,1,,3.600000,,,,,17h50m09.77s,267.540708,-34d40m23.5s,-34.673194,3200.00,,,0.46,,55,1207.70000,,,
3207,OGLE 2006-BLG-109L,b,Microlensing,2,1788.50000000,2.300000,,,,,17h52m34.51s,268.143792,-30d05m16.0s,-30.087778,1510.00,,,0.51,,,231.00000,,,
3208,OGLE 2006-BLG-109L,c,Microlensing,2,4927.50000000,4.500000,0.150000,64.000,,,17h52m34.51s,268.143792,-30d05m16.0s,-30.087778,1510.00,,,0.51,,,86.00000,,,
3209,OGLE 2007-BLG-349L A,c,Microlensing,1,2557.00000000,2.590000,,,,,18h05m24.43s,271.351807,-26d25m19.0s,-26.421944,2760.00,,,0.41,,,80.00000,,6.00,M
3210,OGLE 2007-BLG-368L,b,Microlensing,1,,3.300000,,,,,17h56m25.96s,269.108167,-32d14m14.7s,-32.237417,5900.00,17.710,,0.64,,,20.00000,,,
3211,OGLE 2008-BLG-355L,b,Microlensing,1,,1.700000,,,,,17h59m08.81s,269.786708,-30d45m34.1s,-30.759472,6800.00,,,0.37,,,1462.00000,,,
3212,OGLE 2008-BLG-92L,b,Microlensing,1,,18.000000,,,,,17h47m29.42s,266.872583,-34d43m35.6s,-34.726556,8100.00,,,0.71,,,56.60000,,,
3213,OGLE 2011-BLG-251L,b,Microlensing,1,,2.720000,,,,,17h38m14.18s,264.559083,-27d08m10.1s,-27.136139,2570.00,,,0.26,,,168.44000,,6.00,M
3214,OGLE 2011-BLG-265L,b,Microlensing,1,,1.890000,,,,,17h57m47.72s,269.448833,-27d23m40.3s,-27.394528,4380.00,,,0.21,,,279.68000,,,
3215,OGLE 2012-BLG-0563L,b,Microlensing,1,,0.900000,,,,,18h05m57.72s,271.490500,-27d42m43.2s,-27.712000,1300.00,,,0.34,,,123.00000,,,
3216,OGLE 2012-BLG-0724L,b,Microlensing,1,,1.600000,,,,,17h55m52.39s,268.968292,-29d49m06.7s,-29.818528,6700.00,,,0.29,,,149.38010,,6.00,M V
3217,OGLE 2012-BLG-26L,b,Microlensing,2,,4.000000,,,,,17h34m18.70s,263.577917,-27d08m33.9s,-27.142750,4019.00,,,1.06,,,46.08535,,4.50,G5 V
3218,OGLE 2012-BLG-26L,c,Microlensing,2,,4.800000,,,,,17h34m18.70s,263.577917,-27d08m33.9s,-27.142750,4019.00,,,1.06,,,273.33380,,4.50,G5 V
3219,OGLE 2012-BLG-358L,b,Microlensing,1,,0.870000,,,,,17h42m46.77s,265.694875,-24d15m39.6s,-24.261000,1760.00,,,0.02,,,587.96000,,,
3220,OGLE 2012-BLG-406L,b,Microlensing,1,,3.450000,,,,,17h53m18.17s,268.325708,-30d28m16.2s,-30.471167,4970.00,,,0.44,,,867.64000,,,
3221,OGLE 2013-BLG-102L,b,Microlensing,1,,0.800000,,,,,17h52m07.08s,268.029500,-31d41m26.1s,-31.690583,3040.00,,,0.10,,,3994.48600,,,
